Album,Year,Song,Lyrics
Love Is A Four Letter Word,2012,93 Million Miles,"93 million miles from the sun,
People get ready get ready,
'Cause here it comes
It's a light, a beautiful light,
Over the horizon into our eyes
Oh, my my how beautiful,

Oh my beautiful mother
She told me, ""Son in life you're gonna go far,
If you do it right you'll love where you are.
Just know,
Wherever you go,
You can always come home.""

240 thousand miles from the moon,
We've come a long way to belong here,
To share this view of the night,
A glorious night,
Over the horizon is another bright sky
Oh, my my how beautiful,

Oh my irrefutable father,
He told me, ""Son sometimes it may seem dark,
But the absence of the light is a necessary part.
Just know,
You're never alone,
You can always come back home.""

Home, home.

You can always come back

Every road is a slippery slope
There is always a hand that you can hold on to.
Looking deeper through the telescope
You can see that your home's inside of you.

Just know,
That wherever you go,
No, you're never alone,
You will always get back home

Home, home

93 million miles from the sun,
People get ready get ready,
'Cause here it comes
It's a light,
A beautiful light,
Over the horizon into our eyes."
Love Is A Four Letter Word,2012,Frank D Fixer,"Frank D. Fixer was a handyman
He could handle anything; he was my granddad
He grew his own food and he could fix his own car
I watched it all happen in our backyard
He'd reinvent the part to fix the broken home
He'd restore the heart

Well I wish I was a fixer
I would fix you up inside
I would build you a town if the world fell down
I wish I was that guy

Well if Frank D. Fixer were alive today
Well he may laugh at me or he may have a lot to say
Well he might ask that I keep working for the family
To keep the bills all paid and be his protégé
What happened to the ground right where we are?
What happened to the family farm?

Well I wish I was a fixer
I would fix you up inside
I would build you a town if the world fell down
I wish I was that guy

Every evening breaking bread
He showed us who a real man is
No matter what my grandma said
He would never lose his head

Well I wish I was a fixer
I would fix you up inside
I would build you a town if the world fell down
I wish I was that guy

Well I wish I was a farmer
I would grow you a Garden of Eden
And I would bless our family with the gifts that granddad handed me
How wonderful that would be
Baby I'll make that guy be me"
Love Is A Four Letter Word,2012,Who's Thinking About You Now?,"Who's thinking about you now?
If you were building a wall, who would tear it all down and pull you through?
Who's thinking about you?
Who'd care enough to send you flowers, that you could call at all hours,
And give your love to?
Somebody must believe if they could see what I see
If they haven't, well they will
Baby they all will

Just when you suspect that life couldn't get no harder, something comes
Along and makes your dark day darker
The weight of it all falls on you
Who will be the one to listen when it's time to listen?
Who will be the one to miss you when you've gone missing?
Well, I do.
Do I qualify, qualify, qualify, qualify, qualify?

I want to be the one who will help you ignore Mr. Loneliness leaning his head into your door.
I'm hoping you can feel me.
I'm hoping you can feel me in your chest, chest, yeah
I'm hoping that you notice how you're blessed, yeah

I feel like starting something.
I feel like calling off the day to be with you.
Yeah, I believe we all do something that's familiar like a deja vu,
Familiar like a deja vu
Yeah, and I know you're smoking, I've seen your fire
I know in love you've been giving it up
So do I qualify, qualify, qualify, qualify, qualify?

I want to be the one who will help you move on from Mr. Loneliness living in the kitchen of your home.
I'm hoping you can feel me.
I'm hoping that I don't run out of breath, breath, yeah.

Ooh... Ooh...
[whistles]

When our two hands are linked together with an ampersand.
It's my kind of diagram.
When our sore eyes are lined up side by side
Well, I'm a happy man
Yes, I'm a happy man.
Yes ma'am, yes ma'am, yes ma'am
I am thinking about you.
Yes ma'am, yes ma'am, yes ma'am
I am thinking about you.

When you're sleeping, darling when you're next to me,
I scan you like a credit card, connecting freckles like I do the stars

Yes ma'am, yes ma'am, yes ma'am
I am thinking about you"
Love Is A Four Letter Word,2012,In Your Hands,"Ticket lines, and places to dine
Taking baths and drinkin' wine
People ask, I say I'm doin' fine.

Motorcycles and for sure The Eiffel Tower
They were made for two
A double bed has never felt so empty
What's missing in the world is you
So I'll leave it in your hands now

To come through
I'll leave it in your hands now
To come through

I like climbing the mountain
I'm climbing back in the bed
I love making breakfast for someone instead of me

Taking autumn walks in Central Park
They were made for two
Afternoon naps have never felt so crappy
What's missing in my life is you
So I'll leave it in your hands now

To come through
I'll leave it in your hands now
To come through
I'll leave it in your hands now
To come through
I'm gonna it in your hands now
To come through

Its like diving into a pool without water
And praying for rain
Well, my life is a good life anyway
What I have will do
But when you're alone
You're living in a world with only choices
And what I choose is you
So I'll leave it in your hands now

To come through
I'll leave it in your hands now
To come through
I'll leave it in your hands now
To come through
I'm gonna it in your hands now
To come through"
Love Is A Four Letter Word,2012,Be Honest,"Ok go, go hang your heart on any tree,
You can make yourself available to anybody,
Cause every livin' person knows you are a prize,
Whichever way you go I'll be easy to find,
I don't ask for much, just be honest with me
I don't ask for much, be honest

Think of this song as a promise you can do what you want,
If you decide you wanna move into a new stage,
Deleting me from pages in your mission statement,
My love is unconditional, make no mistake,
I don't ask for much, just be honest with me,
I don't ask for much, just be honest with me,

Who we are when love is what it wants to be,
We are free, and we are having the best day ever by far,
Being treated to the light like a superstar

I can hold space while you see what your heart has to say about me,
There's no dotted line to sign away your freedom,
I acknowledge you for what you do to keep strong,
I'll always get behind you, don't get me wrong,
I don't ask for much, just be honest with me
I don't ask for much, just be honest with me
I don't ask for much, just be honest with me

Who we are when love is what it wants to be,
We are free and, we are having the best day ever by far,
Being treated to the light like a superstar

If I miscommunicated I apologies,
If the picture that I painted wasn't very nice,
My love is standing by you whatever you decide,
I don't ask for much, just be honest, with me,
I don't ask for much, just be honest, with me

Who we are, when love is what it wants to be,
We are free, and we are having the best day ever by far,
Yes we are... Yes we are..."
Love Is A Four Letter Word,2012,The World As I See It,"The world as I see it, is a remarkable place
A beautiful house in a forest, of stars in outer space
From a birds eye view, I can see it has a well-rounded personality
From a birds eye view, I can see we are family

It’s not hard for me to love you
Hard for me to love you
No, it’s not a difficult thing
It’s not hard for me to love you
Hard for me to love you
Because you are the world to me

Yeah the world as I see it, is a remarkable place
Every man makes a difference and every mother’s child is a saint
From a birds eye view I can see, we are spiraling down in gravity
From a birds eye view I can see, you are just like me

It’s not hard for me to love you
Hard for me to love you
No, it’s not a difficult thing
It’s not hard for me to love you
Oh I really love you unconditionally
No, it’s not hard for me to love you
Hard for me to love you
No, it’s not a difficult thing
It’s not hard for me to love you
Oh I really love you,
Love you are the world to me

You are the mountain, you are the rock
You are the cord and you’re the spark
You are the eagle, you are the lark
You are the world and you’re remarkable
You’re the ocean eating the shore
You are the calm inside the storm
You’re every emotion, you can endure
You are the world and the world is yours.

It’s not hard for me to love you
Hard for me to love you
No, it’s not a difficult thing
No, it’s not hard for me to love you
Hard for me to love you unconditionally
No, it’s not hard for me to love you
Hard for me to love you
No, it’s not a difficult thing.
It’s not hard for me to love you
Hard for me to love you, because you are the world to me
No, it’s not hard for me to love you
Hard for me to love you
No it’s not a difficult thing (No, it’s not a difficult thing)
It’s not hard for me to love you
Hard for me to love you (really it’s not hard),
Because you are the world to me.
Yeah the world as I see it, is a remarkable place"
Yes!,2014,Love Someone,"Love is a funny thing
Whenever I give it, it comes back to me
And it's wonderful to be
Giving with my whole heart
As my heart receives
Your love

Oh, ain't it nice tonight we've got each other
And I am right beside you
More than just a partner or a lover
I'm your friend

When you love someone
Your heartbeat beats so loud
When you love someone
Your feet can't feel the ground

Shining stars all seem
To congregate around your face
When you love someone
It comes back to you

And love is a funny thing
It's making my blood flow with energy
And it's like an awakened dream
As what I've been wishing for, is happening
And it's right on time

Oh ain't it nice this life, we've got each other
And I am right beside you
More than just a partner or a lover
I'm your friend

When you love someone
Your heartbeat beats so loud
When you love someone
Your feet can't feel the ground

Shining stars all seem
To congregate around your face
When you love someone
When you love someone

We're gonna give ourselves to love tonight
Lifting up to touch the starlight
And we will savor every second
We suspend together
You and I will
You and I will
You and I will

When you love someone
Your heartbeat beats so loud
When you love someone
Your feet can't feel the ground

Shining stars all seem
To congregate around your face
When you love someone
It comes back to you"
Yes!,2014,"Hello, You Beautiful Thing","Fall out of bed and catch a fading star
Fancy, I woke up before my alarm
Rub my mind through my eyes, it's the best I can do
Before it's automatic habit of returning to you
Though I smile when it happens almost as if it was magic
It means there's a God somewhere and He's laughing
And I shuffle my slipper-less toes to the kitchen
Still low to the ground, but high on living

And I know, I know, it's gonna be a good day
Hello, hello, you beautiful thing

Waking up, I stretch my body and acknowledge some aches
It must be something I did yesterday
Pour a cup of liquid gold, because my engine's still cold
But in a minute everything's gonna change

'Cause I know, I know, it's gonna be a good day
Hello, hello, you beautiful thing
Hello, hello, you beautiful thing

And this is what I've been waiting for
(This is what I've been waiting for)
This is what I've been waiting for
(This is what I've been waiting for)

Looking out from a cul-de-sac watching the bend
Of the Earth take the black of the night from the dirt
I can see from the depths of my readjusting eyes
A reflection of yes's and that ever-changing sky
But why do bad dreams linger long after I awake
I don't need no scenes of violence or pain replayed
And I feel quite foolish sometimes when I pray
But my thoughts are all I got so I try to make 'em brave

And I know, I know, it's gonna be a good day
Hello, hello, you beautiful thing
Hello, hello, you beautiful thing

Oh this is what I've been waiting for
(This is what I've been waiting for)
Oh this is what I've been waiting for
(This is what I've been waiting for)
Oh this is what I've been waiting for
(This is what I've been waiting for)
Oh this is what I've been waiting for
(Hello)

And I know, I know, it's gonna be a good day
Hello, hello, you beautiful thing"
Yes!,2014,Long Drive,"Long drive, long night,
The best night of my life,
With you riding, your hand on my hand.
The thought of arriving kind of feels like dying.
I don't want to go home and be alone.
Could we stay out?
Could you drive a little slower? It don't matter where we're going,
As long as I'm with you. We can take the long way.
Chevy Nova, front seat sofa, getting closer, to you.
Drive a little slower. It don't matter where we're going,
As long as I'm with you. We can take the long way.
Drive a little slower. I'm not ready to go home.
I'd rather stay with you.
We can take the long way out, to the country out of town.
Let's get lost. I don't wanna be found.
Let's get away now, and be careful not to crash.
There's no defrost and we're steaming the glass.
You and the road have a generous shoulder
We can pull over and say we took the long way.
Headlights, strobe lights,
I can see you, but not quite.
I can feel you inside. The timing is just right.
For the moment, I don't want to go home.
Take the long way out.
Take the long way now.
Drive a little slower; don't matter where we're going to go now.
Drive a little slower; don't matter where we're going to go now.
Drive a little slower; not ready to go home.
I'd rather stay with you.
We can take the long way.
Long drive, long night,
The best night of my life."
Yes!,2014,Everywhere,"If I wasn't a ghost, I couldn't walk into you
If I wasn't the snow, how could I fall for you?
If I wasn't a songbird, how could I call to you?
If I wasn't a fly on the wall I wouldn't know all about you

I'm everything in everywhere
Can you see me in your own reflection?
I'm deep within the molecules of the air that you breathe in
And all the subatomic supersonic spaces in between
I'm everywhere, I'm reaching out in every direction
I believe I'm in the water too cause you act just like you need me
Mm, I'm everywhere

If I wasn't the fire, how could you stoke me up inside?
If I wasn't a party, how could you be the life for me?
If I wasn't a camera, how could you be so photogenic, yeah I said it
If I wasn't the hands on the clock, how could you know that the time was right, tonight?

I'm everything in everywhere
Can you see me in your own reflection?
I'm deep within the molecules of the air that you breathe in
And all the subatomic supersonic spaces in between
I'm everywhere, I'm reaching out in every direction
I believe I'm in the water too cause you act just like you need me

I got an eye like a spy on a satellite checking you out
I'm like a fly with my infinite eyes
I can see with all my senses and I'm coming to get you
I'm invisible, expendable, and omnipresent
I'm everywhere, can you see me in your own reflection?
I'm deep within the molecules of the air that you breathe in
And all the subatomic supersonic spaces in between
I'm everywhere, I'm reaching out in every direction
I believe I'm in the water too cause you act just like you need me
I'm everywhere, I'm everywhere
I'm everywhere, I'm everywhere"
Yes!,2014,Best Friend,"Love is where this begins
Thank you for letting me in
I've never had to pretend
You’ve always known who I am

And I know my life is better
Because you’re a part of it
I know without you by my side
That I would be different

Thank you for all of your trust
Thank you for not giving up
Thank you for holding my hand
I've always known where you stand

Yes, I feel my life is better
So is the world we’re living in
I’m thankful for the time I spent
With my best friend

(You're my best friend)

Thank you for calling me out
Thank you for waking me up
Thank you for breaking it down
Thank you for choosing us
Thank you for all you’re about
Thank you for lifting me up
Thank you for keeping me grounded
And being here now

My life is better,
Because you’re a part of it
'Cause I know without you by my side
That I would be different

Yes, I feel my life is better
And so is the world we’re livin’ in
I’m thankful for the time I spent
With my best friend

You’re my best friend."
Yes!,2014,Quiet,"I want to, I want to hold you

Every time I go home there's another cellphone tower
Construction getting louder, paving over yesterdays
You and I, we will try to find the side of it that's pretty
While our town becomes a city, we won't let it be erased
Empires rise, empires fall
Will you be my constant through it all?

I will hold your hand and watch the world spin madly around this life we're in
Oh yeah everything goes quiet when it's you I'm with
Oh yeah everything goes quiet when it's you I'm with
You, you, you..

Every once in a while, you know I get these real bad headaches
Worried about the mistakes that I've made along the way
You and I, we can't hide from the fact that we need each other
How else will I recover when the fever comes again

Temperatures rise, temperatures fall
Will you be my constant through it all?

I will hold your hand and watch the world spin madly around this life we're in
Oh yeah everything goes quiet when it's you I'm with
Oh yeah everything goes quiet when it's you I'm with
You, you, you..

There are no words, no words when I'm with you, you, you
Every time I hear music, they've added more stuff to it
Things are always moving into a futuristic place
Where you and I will try, we'll try to dance into tomorrow
But time will have to borrow, not a minute left to waste

Heartbeats rise, heartbeats fall
Will you be my constant through it all?

I will hold your hand and watch the world spin madly around this life we're in
Oh yeah everything goes quiet when it's you I'm with
Oh yeah everything goes quiet when it's you I'm with
Oh yeah everything goes quiet when it's you I'm with
Oh yeah everything goes quiet when it's you I'm with"
Yes!,2014,Out Of My Hands,"You went walking away, into the sun
How romantic, but I knew we were done

Was it something I said, something I did
It must be over my head, I didn't quite understand it
But now it's out of my hands, it's out of my hands

I'm sorry for the way you must feeling about yourself, every day
Baby you needed me to make it, so you could keep on running away

Was it something I said, something I did
It must be over my head, I didn't quite understand it
But now it's out of my hands, it's out of my hands

When it feels like life has gotten out of control
When it feels like there's much too much to hold
When it feels like too much to understand
Know, that it's out of your hands, out of your hands, out of your hands
Know, that it's out of your hands, out of your hands, out of your hands

Was it something I said, something I did
It must be over my head, I didn't quite understand it
Now it's out of my hands, it's out of my hands

When it feels like life has gotten out of control
When it feels like there's much too much to hold
When it feels like too much to understand
Know, that it's out of your hands, out of your hands, out of your hands
Know, that it's out of your hands, out of your hands, out of your hands"
Yes!,2014,It's So Hard To Say Goodbye To Yesterday,"How do I say good bye to what we had,
The good times that made us laugh outweigh the bad
I thought we'd get to see forever but forever's gone away
It's so hard to say goodbye to yesterday

I don't know where this road is going to lead
All I know is where we've been and what we have been through
If we get to see tomorrow, I hope it's worth all the wait
It's so hard to say goodbye to yesterday

And I'll take with me the memories to be my sunshine after the rain
It's so hard to say goodbye to yesterday
And I'll take with me the memories to be my sunshine after the rain
It's so hard to say goodbye to yesterday
It's so hard to say goodbye to yesterday"
Yes!,2014,3 Things,"There are three things I do when my life falls apart
Number one I cry my eyes out and dry up my heart
Not until I do this will my new life start
So that's the first thing that I do when my life falls apart

Oh, the second thing I do is I close both of my eyes
And say my thank-yous to each and every moment of my life
I go where I know the love is and let it fill me up inside
Gathering new strength from sorrow
I'm glad to be alive

Things are looking up
I know above the clouds the sun is shining
Things are looking up
Love is still the answer I'm relying
On
Three little things
Things are looking up

The third thing that I do now when my world caves in
Is I pause, I take a breath, and bow and I let that chapter end
I design my future bright not by where my life has been
And I try, try, try, try, try again
Yes I try, try, try, try, try again

Things are looking up
I know beyond the dark the sun is rising
Things are looking up
And I know above the clouds the sun is shining
Things are looking up
Love is still the answer I'm relying
On
Three little things
Three little things"
Yes!,2014,You Can Rely On Me,"Sometimes I rock, sometimes I roll
Sometimes it's not me in control
Sometimes I gotta jump before I know what's below
Sometimes I gotta drop everything and go

Some days we're hot, some days we're cold
Some days we're carrying a heavy load
Some days we're digging in and the love may not show
But I want you to know

That you can rely on me, yes you can
You can rely on me, to understand you
You can rely on me, for anything
You can rely, you can rely on me

And when life is hinging on regret
Like you made up your mind and then you second-guessed it
There's so much you wanna try that you haven't tried yet
Ooh, I've got your back through all of it, yes I do

You can rely on me, yes you can
You can rely on me, to understand you
You can rely on me, for anything
You can rely, you can rely on me

It's you who brought me back when I was lost
Everything I learned you taught me
How to wise up and pay a little more attention
You showed me how to listen, so listen

You can rely on me, yes you can

Yeah, you can rely on me, yes you can
You can rely on me, to understand you
You can rely on me, for anything
You can rely, you can rely on me"
Yes!,2014,Back To The Earth,"Whenever my head starts to hurt
Before it goes from bad to feeling worse
I turn off my phone
I get down low
And put my hands in the dirt

I try to stop the world from moving so fast
Try to get a grip on where I'm at
AND simplify
This dizzy life
And put my feet in the grass

I'm going back to the earth
I'm going back to the earth
I'm going back to work
I'm going back to the earth

The only explanation for a high rise
Must be that everybody wants to get high
And move on up
To a deluxe
Apartment in the sky

Well, the higher we go, the taller we grow
We lose sight of the land below
Well, you can have your place
Up in outer space
'Cause my home is where my food is grown

[2x]
I'm going back to the earth
I'm going back to the earth
I'm going back to work
I'm going back to the earth

(All right lets get the rest in over this bridge)

We are animals (we are animals)
We are wild (we are wild)
We started with the motion
At the bottom of the ocean
Now we're swinging from the tops of the trees

We are animals (we are animals)
We are wild (we are wild)
And to truly be forgiven
We must all get back to living
With the land in harmony

[4x]
I'm going back to the earth
I'm going back to the earth
I'm going back to work
I'm going back to the earth
(Two more times around!)"
Yes!,2014,A World With You,"Let's hit the road and throw out the map
Wherever we go, we won't look back
Cause we're going places and we're going there fast
And let's move to Paris and get ourselves a loft
Let's live in squalor, and spend all cost
Let's throw caution to the wind and start over again

Think how many doors we'll open
Just as many stars will shine
Who knows where we're going
Yeah who knows what we'll find
I want to see the world
The way I see a world with you

Let's hike in the mountains and challenge our will
Let's leap over canyons and get lost in the hills
I want to see the world the way I see a world with you

Think how many doors we'll open
Just as many stars are sure to shine
Who knows where we're going
And who knows what we'll find
I want to see the world
The way I see a world with you

All of our prayers will be answered
The sum of all our failures,
They cannot hurt us now
Let's hoist up our sails
And shove off to China and climb up a wall
Then we'll keep on climbing, looking over it all
Laughing it up, yeah having a ball

Think how many doors we'll open
Just as many stars are gonna shine
Who knows where we're going
And who knows what we'll find
I want to see the world
The way I see a world with you
I want to see the world
The way I see a world with you"
Yes!,2014,Shine,"Once upon a time there was a meeting of minds
The sun and the moon made a deal with the sky
One would take the morning and the other the night
Together they would blanket the world with light
But the moon had a shadow, he felt like a liar
The sun was the only one who carried the fire
The sun saw this, she kept on glowing
Bound to the moon, never saying, ""you owe me""

She said I'll shine on you (shine on you)
I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine on you

I keep a lamp over you, glowing in my heart
To keep from tripping over troublesome thoughts in the dark
We ain't that different, we huddle underneath the same stars
I see who you really are
You're every creature, every man, every woman and child
You're the closest thing I'll ever get to knowing God
Like the sun to the moon, I'll send my love and light
A love like ours, it'll fill the whole sky

I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine on you
I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine, shine, shine on you

Think of the people that you love the most
Send them your light and hope it glows
Say I will shine on you, I will shine on you
No matter the distance, the space, or the time
Love travels in the speed of light
I will shine on you, I will shine on you
I will shine on you, I will shine on you

And if you forget we are the chosen ones
Turn your eyes to the attention of the morning sun
Wherever you go, however you move
The light is gonna shine directly to you
Let it shine on you (shine on you)
Let it shine on you (shine on you)
Let it shine on you (shine on you)
Yes I'm gonna shine on you
I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine on you (shine on you)
I will shine, shine, shine on you"
Know.,2018,Let's See What The Night Can Do,"Let's drive out to the desert at midnight
To dance in the dust of our headlights
And score some good seats for the sunrise
And dressed up in clothes we don't mind getting messed up
Where no one will know how to get us
We don't need a map, we'll just drive, drive, drive

I wanna get lost with you
And hide out, out under the light of the moon
I wanna get lost with you
And see what it's like to spend a whole night with you, just you
You, just you

We can head north
Over the oceans of turquoise
Where after a while, there'll be no noise
Except for the sound of our heart beats beating on
And we'll stand in a canyon alone
Singing our favorite songs
And wait for the words to return in the echo-echo-echo-echo-echo

I wanna get lost with you
And hide out, out under the light of the moon
I wanna get lost with you
And see what it's like to spend a whole night with you, just you
With you, just you
With you, just you
With you, just you

And I... wanna get lost...

Let's see what the night can do
Let's see what the night can do
Let's see what the night can do
I wanna get lo-o-o-o-o-ost
Let's see what the night can do
Let's see what the night can do
Let's see what the night can do
I wanna get lo-o-o-o-o-ost
Let's see what the night can do
Let's see what the night can do
Let's see what the night can do
I wanna get lo-o-o-o-o-ost with you
Let's see what the night can do
Let's see what our hearts wanna do
I wanna know what it's like to spend a whole night with you, just you
With you, just you
With you, just you"
Know.,2018,Have It All,"May you have auspiciousness and causes of success
May you have the confidence to always do your best
May it take no effort in you being generous
Sharing what you can, nothing more, nothing less

May you know the meaning of the word ""happiness""
May you always lead from the beating in your chest
May you be treated like an esteemed guest
May you get to rest, may you catch your breath

And may the best of your todays be the worst of your tomorrows, whoa-oh
And may the road less paved be the road that you follow, whoa-oh

Well, here's to the hearts that you're gonna break
Here's to the lives that you're gonna change
Here's to the infinite possible ways to love you
I want you to have it

Here's to the good times we're gonna have
You don't need money, you've got free pass
Here's to the fact that I'll be sad without you
I want you to have it all

All (all)
I want you to have it all (have it all)
I want you to have it (have it all)
I want you to have it all (have it all)

May you be as fascinating as a slap bracelet
May you keep the chaos and the clutter off your desk
May you have unquestionable health and less stress
Having no possessions though immeasurable wealth

May you get a gold star on your next test
May your educated guesses always be correct
And may you win prizes, shining like diamonds
May you really own it each moment to the next

And may the best of your todays be the worst of your tomorrows, whoa-oh
And may the road less paved be the road that you follow, whoa-oh

Well, here's to the hearts that you're gonna break
Here's to the lives that you're gonna change
Here's to the infinite possible ways to love you
I want you to have it

Here's to the good times we're gonna have
You don't need money, you've got free pass
Here's to the fact that I'll be sad without you
I want you to have it all

All (all)
I want you to have it all (have it all)
I want you to have it (have it all)
I want you to have it all (have it all)

Oh, I want you to have it all
All you can imagine, oh
No matter what your path is
If you believe it then anything can happen

Go go go, raise your glasses
Go go go, you can have it all

I toast you!

Here's to the hearts that you're gonna break
Here's to the lives that you're gonna change
Here's to the infinite possible ways to love you
I want you to have it

Here's to the good times we're gonna have
You don't need money, you've got free pass
Here's to the fact that I'll be sad without you
I want you to have it all

All (all)
I want you to have it all (have it all)
I want you to have it (have it all)
I want you to have it all (have it all)
I want you to have it

(All)
Here's to the good times we gonna have
(I want you to have it all)
Here's to you always making me laugh
(I want you to have it all)
Here's to the fact that I'll be sad without you
(I want you to have it all)
I want you to have it all"
Know.,2018,More Than Friends,"It feels like we've been friends forever, yeah
And we always see eye to eye
The more time we spend together
The more I wanna say what's on my mind

Take it easy
'Cause it ain't easy to say

I wanna be more than friends
I wanna be more than friends
I wanna tell everyone you're taken
And take your hand until the end
I wanna be more than friends

At the risk of sounding foolish
I don't wanna fool around no more
If we're gonna do this then let's do this
You can fix my broken heart if it's all yours

So take it easy
'Cause it ain't easy to say

I wanna be more than friends
I wanna be more than friends
I wanna tell everyone you're taken
And take your hand until the end
I wanna be more than friends

I'm asking you to be my baby
I'm giving you my heart, don't break it
I'm crushing and I'm going crazy
Either way I know we'll make it

Take it easy
It ain't easy to say
I'll take it easy
I'll take it easy
It ain't easy to say

I wanna be more than friends
I wanna be more than friends
I wanna tell everyone you're taken
And take your hand until the end
I wanna be more than friends (friends)
I'm asking you to be my baby (asking you to be my baby)
I'm giving you my heart, don't break it (giving you my heart, don't break it)
I'm crushing and I'm going crazy (hey)
Either way I know we'll make it (I know, I know, I know we'll make it)"
Know.,2018,Unlonely,"It could be love
And we could be homies
Once you get to know me
I could be your one and only
I could make you unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you unlonely

I've been chasing summer around
Searching for the sunshine
Looking for a good time
Following the good vibes
Listening to intuition when it's happening
Diggin' into life cause at times it can be saddening
Yea it can be a grey day, if you're lonely
A little rain suddenly turns heavy
But a whole lot of love can make the clouds go away
Maybe the time for us is now

When the table's set for two
And there's nobody with you
Seeing movies by yourself
Let me be your someone else

It could be love
And we could be homies
Once you get to know me
I could be your one and only
I could make you unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you unlonely

Love, la-la-la, love
Love, la-la, love
One and only, I could make you unlonely

I give you my word although I'm making words up
Unlonely ain't a word but I don't give a FRUCK
Cause I'm fresh from the farm where critics can't bother me
Living is tricky as it is so that ain't stopping me
You and me we both agree that no one needs the scrutiny
All we want is peace and love and honestly you ruined me
With your beautiful smile and your style continuity
I'd be a fool not to take the opportunity to say
Hey, we should be homies
I think we could be bigger than cheese and macaroni
We could keep it sweet like Chachi and Joanie
Or maybe just be ourselves: Never Phony
Never second guessing the friendship connection
Parallel living, never in possession
Of your individual personal expression
Together we're just a much better reflection of Love


And we could be homies
Once you get to know me
I could be your one and only
I could make you unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you unlonely

Love, la-la-la, love
Love, la-la, love
One and only, I could make you unlonely
Love, la-la-la, love
Love, la-la, love
One and only, I could make you unlonely

When the table's set for two
And there's nobody with you
Seeing movies by yourself
Let me be your someone else
If you're spending time alone
If it's just you and your phone
Taking pictures of yourself
Baby, maybe I can help

It could be love
And we could be homies
Once you get to know me
I could be your one and only
I could make you unlonely
Or we could take it slowly
And we could keep it low key
I could be your one and only
I could make you unlonely

Love, la-la-la, love
Love, la-la, love
One and only, I could make you unlonely

It could be love
And we could be homies (Love, la-la-la, love)
And once you get to know me (Love, la-la, love)
I could be your one and only
I could make you unlonely"
Know.,2018,Better With You,"I pack my bags, I'm going away
I'm only leaving for a day
It's nice to have some time alone
And it's nice to know how I miss home
I wrote this song to let you know

I'm better with you
I'm better with you
I'm better because you give meaning to the words ""I love you""
I'm better with you
I'm better with you
I'm better because you are who I love to say those words to

You're always with me in my head
I take you with me in my heart
It's better when I'm in your bed
It's better when we're not apart
I just can't do this alone

I'm better with you
I'm better with you
I'm better because you give meaning to the words ""I love you""
I'm better with you
I'm better with you
I'm better because you are who I love to say those words to

Yeah, live's about the people who surround you
Love's the only thing it all comes down to
I just want you to know

I'm better with you
I'm better with you
I'm better with you
I'm better with you
I'm better because you give meaning to the words ""I love you""
I'm better with you
I'm better because you are who I love to say those words to
You-hoo...you-hoo-hoo-hoo..."
Know.,2018,No Plans,"If I stayed here, would you follow
Could we put time in a bottle
And forget all our to-do's
Pretend we checked in to a chateau
In a world with no tomorrows
Just time for me and you

Do you wanna go...
Anywhere, baby

I've got no plans for us today
Got no plans to get away
I've got no plans, except for loving you
I've got no plans for us tonight
So baby, hold me tight
I've got no plans, except for loving you

If we dream it we can be it
I'm putting all my feelings
Into spending time with you
I could sit right here all evening
Just listening to you breathing
And taking in the view

Do you wanna go
Anywhere, baby

I've got no plans for us today
Got no plans to get away
I've got no plans, except for loving you
I've got no plans for us tonight
So baby, hold me tight
I've got no plans, except for loving you"
Know.,2018,Sleeping To Dream,"I'm dreaming of sleeping next to you
I'm feeling like a lost little boy in a brand new town
I'm counting my sheep and each one that passes is another dream to ashes
And they all fall down

And as I lay me down tonight
I close my eyes
What a beautiful sight

I'm sleeping to dream about you
I'm so damn tired
Of having to live without you
But I I don't mind
I'm sleeping to dream about you
I'm so tired

Oh yes, I am

I found myself in the riches
Your eyes, your lips, your hair well
You were everywhere out there
But I woke up in the ditches
I hit the light and I thought you might be here
But you were nowhere
Oh love, you were nowhere at home

And as I lay me back to sleep
This love I pray that I can keep

Sleeping to dream about you
I'm so damn tired
Of having to live without you
But I I don't mind
I'm sleeping to dream about you and I'm so tired

This is just a little a lullaby
To keep myself from crying
myself a little lullaby to keep keep
My eyes from always crying
Yes it's just a little lullaby
I'm trying to get myself to fall asleep sleep
It's just a little lullaby
So I don't cry myself to sleep at night

Sleeping to dream about you
I'm so damn tired
Of having to live without you
But I I don't mind

I'm sleeping to dream about you
I'm so, I'm tired
I'm so tired, I'm so tired"
